Altium Designer Pick and Place Locations
C:\Users\Sasa\Desktop\git\_public_sk_repos\OpenFanController\Hardware\Altium_Source_Files\Project Outputs for OpenFAN_PC_PI\Pick Place\2023-10-30_10-14_OpenFAN_PC_PI_Pick Place.csv

========================================================================================================================
File Design Information:

Date:       30-10-23
Time:       10:14
Revision:   e7e3896cfef5e60772060f9f979606a94bf80446
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R2","Res","TopLayer","0603","-43.6269mm","65.7837mm","90","Resistor"
"R10","Res","TopLayer","0603","-23.9822mm","63.9106mm","0","Resistor"
"R7","Res","TopLayer","0603","-11.3030mm","56.5150mm","0","Resistor"
"R8","Res","TopLayer","0603","-11.3030mm","60.5790mm","0","Resistor"
"R12","Res","TopLayer","0603","-16.6370mm","54.7370mm","90","Resistor"
"R11","Res","TopLayer","0603","-15.1130mm","58.6740mm","270","Resistor"
"P4_FCN5","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-3.0480mm","78.6770mm","180","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"P4_FCN4","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-15.6210mm","78.6770mm","180","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"P4_FCN3","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-28.0670mm","78.6770mm","180","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"P4_FCN2","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-40.5130mm","78.6770mm","180","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"P4_FCN1","WM4330-ND","TopLayer","FAN_CONNECTOR_4PIN","-52.9590mm","78.6490mm","180","4 Positions Header Connector 0.100" (2.54mm) Through Hole Tin"
"D1","LED","TopLayer","0603_Diode","-31.4960mm","69.3420mm","0","Typical RED GaAs LED"
"C9","Cap","TopLayer","0603_-_CAP","-40.7670mm","61.4680mm","0","Capacitor"
"C16","Cap","TopLayer","0603_-_CAP","-36.5760mm","66.9290mm","270","Capacitor"
"C15","Cap","TopLayer","0603_-_CAP","-40.7670mm","59.9440mm","0","Capacitor"
"C14","Cap","TopLayer","0603_-_CAP","-35.0520mm","66.9290mm","270","Capacitor"
"C13","Cap","TopLayer","0603_-_CAP","-31.3690mm","66.9290mm","270","Capacitor"
"C12","Cap","TopLayer","0603_-_CAP","-23.9822mm","60.8626mm","180","Capacitor"
"C4","Cap","TopLayer","0603_-_CAP","-41.9100mm","69.4690mm","90","Capacitor"
"C22","Cap","TopLayer","0603_-_CAP","-15.1130mm","54.7370mm","270","Capacitor"
"C21","Cap","TopLayer","0603_-_CAP","-16.6370mm","58.6740mm","90","Capacitor"
"C7","Cap","TopLayer","0603_-_CAP","-21.7170mm","60.4520mm","270","Capacitor"
"C8","Cap","TopLayer","0603_-_CAP","-27.5590mm","55.4990mm","90","Capacitor"
